"fips_code","county","date","total_outage"
12003,"Baker",2022-05-07,470
12003,"Baker",2022-05-08,4.75
12003,"Baker",2022-05-09,5.25
12003,"Baker",2022-05-10,16.75
12003,"Baker",2022-05-12,5
12003,"Baker",2022-05-13,0
12003,"Baker",2022-05-15,303.5
12003,"Baker",2022-05-16,6.5
12003,"Baker",2022-05-17,76.25
12003,"Baker",2022-05-18,41.25
12003,"Baker",2022-05-19,0.5
12003,"Baker",2022-05-20,8.25
12003,"Baker",2022-05-21,103.5
12003,"Baker",2022-05-22,350.25
12003,"Baker",2022-05-23,1447
12003,"Baker",2022-05-24,197.25
12003,"Baker",2022-05-25,217
12003,"Baker",2022-05-26,5.5
12003,"Baker",2022-05-27,10.5
12003,"Baker",2022-05-28,2.75
12003,"Baker",2022-05-29,111.5
12003,"Baker",2022-05-30,607
12003,"Baker",2022-05-31,614.75
12003,"Baker",2022-06-01,12.75
12003,"Baker",2022-06-02,1.5
12003,"Baker",2022-06-04,12.5
12003,"Baker",2022-06-05,0
12003,"Baker",2022-06-06,183.5
12003,"Baker",2022-06-07,19
12003,"Baker",2022-06-08,2.75
12003,"Baker",2022-06-09,1785.5
12003,"Baker",2022-06-10,11.75
12003,"Baker",2022-06-11,31.75
12003,"Baker",2022-06-12,1067
12003,"Baker",2022-06-13,54.5
12003,"Baker",2022-06-14,332.5
12003,"Baker",2022-06-15,117
12003,"Baker",2022-06-16,35
12003,"Baker",2022-06-17,3.75
12003,"Baker",2022-06-18,20.25
12003,"Baker",2022-06-19,100
12003,"Baker",2022-06-20,5
12003,"Baker",2022-06-21,10.5
12003,"Baker",2022-06-23,5.5
12003,"Baker",2022-06-24,27.25
12003,"Baker",2022-06-25,15
12003,"Baker",2022-06-26,9.75
12003,"Baker",2022-06-27,51.75
12003,"Baker",2022-06-28,47.75
12003,"Baker",2022-06-29,387.25
12003,"Baker",2022-06-30,54.75
12003,"Baker",2022-07-01,9.25
12003,"Baker",2022-07-02,41.5
12003,"Baker",2022-07-03,8.25
12003,"Baker",2022-07-04,1.25
12003,"Baker",2022-07-05,19.25
12003,"Baker",2022-07-06,5.25
12003,"Baker",2022-07-07,62
12003,"Baker",2022-07-08,250.75
12003,"Baker",2022-07-09,17.75
12003,"Baker",2022-07-10,1.25
12003,"Baker",2022-07-11,3.75
12003,"Baker",2022-07-12,1.75
12003,"Baker",2022-07-13,113.75
12003,"Baker",2022-07-14,72
12003,"Baker",2022-07-15,4.5
12003,"Baker",2022-07-16,26
12003,"Baker",2022-07-17,73.5
12003,"Baker",2022-07-18,94.5
12003,"Baker",2022-07-19,83
12003,"Baker",2022-07-20,225
12003,"Baker",2022-07-21,20.25
12003,"Baker",2022-07-22,23.25
12003,"Baker",2022-07-23,219.5
12003,"Baker",2022-07-24,17.75
12003,"Baker",2022-07-25,43.5
12003,"Baker",2022-07-26,34
12003,"Baker",2022-07-27,56.25
12003,"Baker",2022-07-28,0.75
12003,"Baker",2022-07-29,4.5
12003,"Baker",2022-07-30,10.75
12003,"Baker",2022-08-01,260
12003,"Baker",2022-08-02,99
12003,"Baker",2022-08-03,67
12003,"Baker",2022-08-04,49.5
12003,"Baker",2022-08-05,6.5
12003,"Baker",2022-08-07,0.25
12003,"Baker",2022-08-08,0
12003,"Baker",2022-08-09,118.5
12003,"Baker",2022-08-10,24.5
12003,"Baker",2022-08-11,1.5
12003,"Baker",2022-08-12,5.25
12003,"Baker",2022-08-13,23
12003,"Baker",2022-08-14,14.25
12003,"Baker",2022-08-15,1.5
12003,"Baker",2022-08-16,13.25
12003,"Baker",2022-08-17,22.5
12003,"Baker",2022-08-18,93
12003,"Baker",2022-08-19,178
12003,"Baker",2022-08-20,68.5
12003,"Baker",2022-08-21,280.75
12003,"Baker",2022-08-22,126.5
12003,"Baker",2022-08-23,4.25
12003,"Baker",2022-08-24,74.75
12003,"Baker",2022-08-25,31.5
12003,"Baker",2022-08-26,25.5
12003,"Baker",2022-08-27,720.75
12003,"Baker",2022-08-28,64.25
12003,"Baker",2022-08-29,100.75
12003,"Baker",2022-08-30,4.75
12003,"Baker",2022-08-31,16.75
